phrase1,phrase2
he insist on wash hi undercloth and hi sock in the bathroom rather than part with the few quarter that it cost to use the washerdry in the basement laundri room everi time i came to see him there were hi grayish misshapen thing drape over wire hanger on the shower rod and the towel rack,at seven the next morn hi london phone to tell me the result
though he pride himself on be nattili dress and alway enjoy put on a nice tailor new sport jacket or a threepiec hickeyfreeman suit enjoy it particularli when he d bought it at an endofseason sale he had taken to cut corner on whatev wasn t visibl to anyon els,i
hi pajama and handkerchief like hi underwear and sock look as though they hadn t been replac sinc my mother s death,whitey began to kick against the door
when i got to hi apart that the inadvert visit to my mother s quickli excus myself and went off to the toilet,i express my opinion she said
first i d miss a turnoff and now in the bathroom i wa take anoth few minut to rehears for a final time the best way to tell him about the tumor,some goy
while i stood over the bowl hi undergar hung all around me like remnant strung out by a farmer to scare the bird away,you have a seriou problem i began but it can be dealt with
on the open shelv abov the toilet where there wa an assort of prescript drug as well as hi polid vaselin and ascriptin hi box of tissu qtip and absorb cotton i spot the shave mug that had onc been my grandfath s in it my father kept hi razor and a tube of shave cream,and doe nt even know it
the mug wa pale blue porcelain a delic floral design enclos a wide white panel at the front and insid the panel the name s,patimkin when i saw him had a cigar in hi mouth and wa shout at someon
roth and the date were inscrib in fade gold gothic letter,you case of arrest develop
the mug wa our one famili heirloom as far as i knew asid from a hand of antiqu snapshot the onli thing tangibl that anyon had care to save from the immigr year in newark,industri
i had been intrigu by it ever sinc my grandfath had die a month short of my seventh birthday and it made it way into our newark bathroom back when my father wa still shave with a bristl brush and shave soap,he wa a manag who drove hi employe as unsparingli as he drove himself and the transfer to the mapl shade district had been hi third promot sinc when he d been elev from an assist manag in newark
sender roth had been a remot mysteri presenc to me as a small boy an elong man with an unders forebear whom my own skeleton most about whom all i knew wa that he smoke all day long spoke onli yiddish and wasn t much given to fondl the american grandchildren when we all show up with our parent on sunday,while captain meyerson is make hi last slow turn over the tel aviv airport
after hi death the shave mug in our bathroom brought him much more fulli to life for me not as a grandfath but even more interestingli then as an ordinari man among men a custom of a barbershop where hi mug wa kept on a shelf with the mug of the other neighborhood immigr,have you ever had real jewish chop liver befor
it reassur me as a child to think that in that household where accord to all report there wa never a penni to spare a dime wa set asid everi week for him to go to the barbershop and get hi sabbath shave,i can onli repli that i felt as protect of hi vulner as an emot famili man vulner to famili friction as a breadwinn vulner to financi uncertainti as a roughhewn son of jewish immigr vulner to social prejudic when i wa still at home and he wa power healthi and drive me crazi with advic that wa useless and strictur that were pointless and reason that caus me all alon in my room to smack my forehead and howl in despair
my grandfath roth had studi to be a rabbi in polish galicia in a small town not far from lemberg but when he arriv in america alon in without hi wife and hi three son my uncl charli morri and ed he took a job in a hat factori to earn the money to bring hi famili over and work there more or less most of hi life,uncl nate asks mayb you want it in your school color huh
there were seven children born between and six son and a daughter and all but the last two of the boy and the one girl left school after the eighth grade to find job to help support the famili,my incredul
the shave mug inscrib s,legal coach and of cours mr
roth had seem to free my onli momentarili if onli for those few minut he quietli sat be shave in the barber s chair late on a friday the dour exig that had trap him and that i imagin account for hi auster uncommun natur,he cri
hi mug emit the aura of an archaeolog find an artifact signal an unexpect level of cultur refin an astonish superflu in an otherwis cramp and obstruct our ordinari littl newark bathroom it had the impact on me of a greek vase depict the mythic origin of the race,driverpeck and peck
by what amaz me about it wa that my father hadn t thrown it out or given it away,krohn i want my sight back
over the year when it wa within hi power he had gotten rid of just about everyth useless to which ani of us might have been thought to have a sentiment attach,whi allow thi affair to gather ani more momentum
though these seizur of largess were on the whole admir motiv they sometim lack sensit to innat properti right,yet madmen there have been and madmen there will be and still thi nation ha endur
so eager wa he to answer the need real or imagin of the recipi that he did not alway think about the effect of hi impuls on the unwit donor,answer no
my twovolum stamp collect for instanc studious acquir by me throughout my late grade school collect partial inspir by the exampl of the countri s most famou philatelist franklin delano roosevelt and underwritten with virtual all my gave away to a greatnephew of hi the year i went off to colleg,the way i respond to the simpl vicissitud of human life
i didn t know thi until ten year later when i wa think of draw on my scholarli discoveri as a boy stamp collector for an episod in a piec of fiction and went down to my parent hous in moorestown to get the album out of the attic,chang someth
it wa onli after i had search thoroughli but in vain through the carton i d store there that my mother not until we were off alon how they had come to disappear,sinc the first neurosurgeon had said that the tumor would not respond to radiat and the second had indic that the chanc radiat would help were small the biopsi began to seem an ordeal that we had no busi forc on him particularli as i had learn by ask around that it could be veri pain and given where the needl wa to be blindli insert not without some risk
she assur me that she had tri to stop him that she had told him that my stamp weren t hi to dispos of but he wouldn t listen,and then when the caller had neither stop laugh nor hung up i said my best by cup the mouthpiec not to wake my wilkin pull thi shit one more time onc more and i will be over at your door with my ax
he told her that i wa grown up away at colleg didn t use the stamp anymor wherea chicki hi greatnephew could bring them with him to school et cetera et cetera et cetera,mayb you re the littl bit
i suppos i could have found out if ani part of my collect even exist ani longer by contact rel who wa virtual a stranger to me and by then a young marri i decid to let the whole thing drop,still kitti love saint teresa as luci had never love anyth at least that she could rememb and so gradual when she began to get the drift of saint teresa s mean and saw again and again how it flood kitti with joy to pronounc aloud those veri word nearli all of which saint teresa herself had written she began to wonder if perhap she shouldn t forgiv kitti egan her read problem and tri to love saint teresa too
i wa terrif irrit to hear what he had when i rememb how much of my childhood had gone into that collect genuin as it wa so long ago that he had done it and as i had rather more difficult problem to deal with i wa in the midst of an acrimoni marit separ i said noth to him,call alex
and even if i had been inclin to it would have been no easier for me to critic him to hi face at twentyeight than it had been at eighteen or eight sinc hi most blatantli thoughtless act were invari ignit by thi spontan impuls to support to assist to rescu to save prompt by the convict that what he wa away my stamp for gener help and moral or educ efficaci,but you mr
i believ anoth motiv wa oper in harder to fathom and we came back from buri my mother in may of and even as the apart began fill up with famili and friend he disappear into the bedroom and start empti her bureau drawer and sort through the cloth in her closet,i think i m behind the chrysler i said
i wa still at the door with my brother welcom the mourner who d follow us back from the cemeteri and so i wouldn t right off have known what he wa up to had not my mother s sister milli rush out of the bedroom and down the hallway call for help,their hous wa not a dictatorship it wa a democraci in which everi person had hi wa respect for them too
the bed wa alreadi strewn with dress coat skirt and blous pull from the closet and he wa now busili chuck thing from a corner of her lowest bureau drawer into a plastic garbag bag,anyth
i put my hand on hi shoulder and grip it forc,i organ the roth raider my special littl group of alt kocker and we have a good time on our own
peopl are here for you i said they want to see you to talk to what good is thi stuff anymor,there wa goos flesh on ron s veini arm as the voic continu
it s no good to me hang here,arthur goldberg
thi stuff can go to jewish s in mint stop stop,you know that
there s time for all thi later,reap by the grim reaper befor hi reap wa due he bring us togeth at last as he promis he one day would do
we ll do it togeth later,word are nt onli bomb and bullet no they re littl gift contain mean
stop throw thing out i said,he ha a beard she said to pablo
pull yourself togeth,thi wa when i got to know him
he didn t appear to be either in a daze or in the throe of a hyster wa simpli do what he had done all hi life the next difficult job,ernest hemingway carlo gutiérrez joe russel and joe low aboard the anita with a marlin
thirti minut befor we had buri her bodi now to dispos of her thing,but he wa a whip fish now and on the heavi gear we should get him
i usher him out of the bedroom and onc among the guest who had come to offer condol he immedi began talk away assur everyon that he wa fine,he wa afraid to work closer with the dog and he took him back with the wind and push him down against the base of a tree and tri to make him understand
i return to the bedroom to remov from the garbag bag the pile of memento that he d alreadi discard and that my mother had neatli and care save over the them in a tini brown envelop my phi beta kappa key which she had covet a collect of program to famili graduat exercis birthday card from my brother and me a hand of telegram announc good news clip friend had sent her about me and my book special prize snapshot of her two grandson as small boy,one thing more i nglé he said
they were all item for which my father could imagin no function now that she who had treasur them wa gone the sentiment keepsak of someon whose sentiment had been snuf out forev two night earlier at a seafood restaur where as wa their custom they had gone with friend for sunday night dinner,but then he could break it
my mother had just been serv clam chowder a favorit dish of her to everyon s surpris she had announc i don t want thi soup and those were her last moment later she wa dead of a massiv coronari,that s not a scandal david said
it wa my father s primitiv that stun me,do not let him come up
stand all alon empti her drawer and her closet he seem driven by some instinct that might be natur to a wild beast or an aborigin tribesman but ran counter to just about everi mourn rite that had evolv in civil societi to mitig the sens of loss among those who surviv the death of a love one,w hy do you tell me to keep out of sight
yet there wa also someth almost admir in thi pitilessli realist determin to acknowledg instantan that he wa now an old man live alon and that symbol relic were no substitut for the real companion of fiftyf year,i know now anyway he thought
it seem to me that it wa not out of fear of her thing and their ghostlik power that he want to rid the apart of them without buri them now becaus he refus to sidestep the most brutal of all fact,then where should we go
never in hi life as far as i knew had he been one to tri to elud the forc of a dread blow and yet as i later learn on the even of her death he had fled from her corps,gaylord s is the place he thought
thi occur not at the restaur where she had in fact die but at the hospit where she wa declar dead after the paramed had work in vain to reviv her on the ambul ride from the restaur to the emerg room,onli one person can chang it back and she ca nt know how she will wake nor if she ll be there when she wake
at the hospit they push her stretcher into a cubicl of it own and when my father who had follow the ambul in hi car went in by himself to look at her he could not stand to see what he saw and so he ran,he rememb how the eleph lost all digniti as soon as hi eye had ceas to be aliv and how when hi father and he had return with the pack the eleph had alreadi start to swell even in the cool even
it wa month befor he could speak about thi to anyon and when he did it wasn t to me or to my brother but to clair who as a woman could grant him the womanli absolut he requir to begin to shed hi shame,whi should we
though he wasn t himself equip to account for whi he d run away like that i wonder if it hadn t someth to do with hi realiz that he might have contribut to the heart attack by push my mother that afternoon to walk beyond her endur,of cours you like that big fish too he said rather sadli
she had been suffer for some time from sever short of breath and unknown to me from angina dure the previou winter there had also been a long sieg of arthrit pain that had demor her terribl,you stay here and i ll bring back the mail
that winter she d had all she could do just to sit up comfort in a chair but on the day she die becaus the may weather wa so beauti and she wa final out of door get some exercis they d walk as far as the drugstor three veri long citi block away and then becaus he insist it would be good for her they d also walk all the way home,listen i nglé pilar said to him
